ball, box
2, 0
3, 0
3, 0
3, 0
4, 0
3, 0
3, 0
2, 0
3, 0
4, 0
4, 0
2, 0
3, 0
4, 0
3, 0
3, 0
4, 0
3, 0
4, 0
2, 0
3, 0
3, 0
3, 0
2, 0
3, 0
5, 0
2, 0
4, 0
4, 0
3, 0
3, 0
6, 0
4, 0
4, 0
6, 0
4, 0
5, 0
4, 0
4, 0
5, 0
5, 0
3, 0
4, 0
4, 0
4, 0
5, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
5, 0
6, 0
5, 0
5, 0
5, 0
6, 0
5, 0
5, 0
5, 0
5, 0
6, 0
5, 0
5, 1
6, 1
6, 1
7, 1
6, 1
8, 1
8, 2
7, 2
7, 2
8, 2
7, 2
8, 2
8, 2
8, 1
9, 3
10, 5
9, 4
10, 4
9, 4
7, 2
9, 4
10, 4
10, 5
9, 5
10, 5
9, 5
9, 5
8, 4
8, 4
9, 4
10, 5
9, 4
9, 4
8, 3
9, 5
10, 5
9, 4
9, 4
10, 4
10, 4
10, 4
10, 4
10, 4
9, 4
8, 3
9, 3
10, 4
10, 4
9, 3
9, 4
9, 4
9, 4
9, 4
11, 4
9, 3
9, 4
10, 4
8, 3
8, 3
8, 3
8, 3
9, 3
8, 3
8, 2
8, 3
9, 3
8, 3
8, 3
7, 2
9, 3
8, 2
8, 3
7, 2
7, 2
7, 3
7, 2
8, 2
8, 2
8, 3
8, 3
8, 3
9, 3
9, 3
7, 2
