ball,box
10,1
13,1
11,1
12,1
11,1
11,1
12,1
13,2
11,1
11,1
13,2
11,1
11,1
11,1
11,1
11,1
10,1
10,1
11,1
10,1
13,3
12,1
12,1
11,1
12,1
13,2
11,1
10,1
11,1
11,1
11,1
12,1
9,1
12,1
11,1
12,1
13,2
12,1
14,2
16,2
13,1
14,1
13,1
13,1
12,1
13,1
14,1
14,1
12,1
15,1
12,1
11,1
13,1
12,1
13,1
13,1
11,1
13,1
13,1
14,1
14,1
12,1
14,1
14,1
13,1
14,1
12,1
13,1
13,1
14,1
11,1
13,1
12,1
12,1
13,1
14,1
12,1
14,1
14,1
13,2
13,1
14,1
15,2
13,2
12,1
12,1
13,1
12,1
13,1
14,1
13,1
13,1
14,1
12,1
12,1
11,1
13,1
13,1
13,1
12,1
12,1
12,1
13,1
12,1
13,1
13,1
13,1
12,1
13,1
13,1
12,1
13,1
15,1
13,1
13,1
13,1
13,1
13,1
13,1
14,1
12,1
13,1
13,1
13,1
12,1
14,1
13,1
11,1
14,1
14,2
14,2
13,1
12,1
13,1
14,1
12,1
12,1
13,1
12,1
14,1
13,1
13,1
14,2
13,1
13,1
12,1
14,1
13,1
16,2
13,1
14,1
14,1
13,1
15,1
