ball,box
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
1,12
1,13
1,12
1,12
1,12
0,12
1,14
0,12
0,12
1,15
1,15
0,13
1,13
1,14
1,13
1,14
1,13
1,15
1,13
2,16
1,13
1,15
1,12
1,12
1,13
1,12
1,12
1,13
1,12
1,12
1,11
1,12
1,11
1,11
1,11
1,11
1,10
1,10
1,11
1,12
1,11
1,9
1,11
1,11
1,12
1,10
1,8
1,9
1,8
1,9
1,8
1,9
1,9
1,9
1,9
1,8
1,8
1,9
1,7
1,8
1,7
1,7
1,8
1,8
1,8
1,7
1,8
1,8
1,9
1,10
1,9
1,10
1,10
1,11
1,10
1,12
1,11
1,9
1,12
1,11
1,11
1,12
1,12
1,11
1,11
1,10
1,10
1,11
1,12
1,11
1,12
1,12
1,12
1,12
1,12
1,12
1,12
1,13
1,16
1,16
1,16
1,14
1,14
1,14
1,16
1,14
1,16
1,16
1,16
1,15
1,15
1,13
1,14
1,14
1,15
2,15
2,16
2,16
2,14
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
4,2
4,2
4,2
5,3
5,3
5,3
6,4
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
