ball,box
12,2
12,2
14,3
12,1
12,2
11,2
10,1
12,2
11,1
12,2
12,2
12,2
13,2
10,1
11,2
12,2
11,1
10,1
14,3
12,1
11,1
12,2
9,1
12,2
12,2
12,1
13,2
12,2
12,2
12,2
13,2
12,2
10,2
12,2
12,2
10,1
11,1
12,2
11,2
13,3
11,2
12,2
13,2
12,2
13,2
12,2
12,2
13,2
12,1
13,2
13,3
11,2
12,2
12,2
13,2
13,2
12,1
10,2
13,3
12,1
12,1
13,2
12,2
12,2
12,2
13,2
13,2
13,2
13,2
13,1
14,2
12,2
13,2
12,2
12,2
14,2
13,2
12,3
14,2
12,1
14,2
12,2
14,3
12,1
12,2
14,2
12,2
14,2
12,2
13,2
13,1
13,1
13,2
12,2
14,3
14,3
13,2
14,1
12,1
12,2
13,2
13,2
13,2
12,2
12,2
13,1
13,2
9,1
12,1
12,2
13,2
14,2
13,2
12,1
12,2
13,3
12,2
12,3
13,1
14,2
11,2
12,2
14,2
13,2
13,2
15,4
13,1
12,1
13,2
12,1
12,2
13,2
14,2
14,3
14,2
10,1
12,2
13,1
12,2
12,2
11,2
13,2
12,2
13,3
13,2
12,2
13,2
12,2
12,1
12,2
13,2
13,3
14,2
13,2
11,2
