ball,box
13,2
11,2
13,3
11,2
11,2
13,2
14,2
11,2
11,2
12,2
10,2
13,2
13,2
14,2
15,3
13,1
15,3
14,2
14,2
14,2
14,2
14,1
14,2
14,2
14,2
15,2
17,2
15,2
15,2
14,2
12,2
14,2
14,2
14,2
13,2
14,2
15,2
16,2
13,2
16,2
13,1
14,2
14,3
12,1
14,2
15,2
13,1
14,2
14,2
15,2
14,2
13,1
15,2
14,2
12,2
16,3
15,2
14,2
13,2
14,2
13,1
15,2
13,2
13,2
18,3
13,2
16,3
13,2
15,2
14,1
13,1
16,3
15,1
15,2
15,2
13,2
13,2
15,3
14,2
15,3
14,2
13,2
14,2
12,1
13,1
14,2
13,2
13,1
13,2
14,2
14,2
14,2
15,2
13,2
15,2
15,2
16,4
12,2
14,2
13,1
16,3
13,1
12,1
14,2
13,2
11,2
13,1
14,2
14,2
14,2
14,2
13,2
14,2
15,3
14,1
14,2
14,2
14,2
13,1
12,1
13,2
15,2
14,2
15,2
14,2
14,2
13,2
13,2
15,2
13,2
14,3
13,2
14,1
14,2
15,2
13,2
13,2
13,2
14,2
15,2
14,2
13,2
13,2
14,2
14,2
14,3
12,2
14,1
13,1
15,3
14,2
14,2
14,2
14,2
14,2
