ball,box
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
2,0
2,0
2,0
2,0
2,0
2,0
2,0
1,13
1,15
1,13
1,14
1,15
1,13
1,16
1,15
1,15
1,15
1,12
1,14
1,15
1,13
1,13
1,13
1,13
1,13
1,13
1,12
2,13
2,14
2,14
2,14
2,14
2,14
3,0
4,0
3,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
3,0
3,0
3,0
2,0
3,0
3,0
3,0
3,0
2,0
3,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
1,13
1,15
1,14
1,14
1,12
2,13
2,13
1,13
1,13
1,13
1,12
1,13
1,13
1,12
1,12
1,13
1,12
1,13
1,13
1,13
1,13
1,12
1,14
1,13
1,13
1,13
1,13
1,13
1,13
1,13
1,13
1,13
1,13
1,14
1,13
1,13
1,13
1,13
1,13
1,14
1,13
1,12
1,12
1,14
1,14
1,14
1,14
1,14
1,14
1,15
1,15
1,14
1,14
1,15
1,14
1,13
1,13
1,12
1,13
1,13
1,13
1,14
1,13
1,12
1,12
1,13
1,13
1,13
1,14
1,14
1,13
1,13
1,12
1,13
1,14
1,13
1,15
1,13
1,14
1,13
1,15
1,15
